Front,Back,Tags,Notes
"Create user with specific UID 5000, home dir /opt/appuser, shell /sbin/nologin","useradd -u 5000 -d /opt/appuser -s /sbin/nologin -m appuser","user_management,exam_requirements","-m creates home dir, even if custom location"
"Check which process is using port 80","ss -tlnp | grep :80 OR lsof -i :80","monitoring,alternatives","Know both ss and lsof methods"
"Configure timezone to America/New_York","timedatectl set-timezone America/New_York","system_config,rhel9_specific","Use timedatectl, not /etc/localtime symlinks"
"Set hostname to server1.example.com permanently","hostnamectl set-hostname server1.example.com","networking,rhel9_specific","hostnamectl is the RHEL 9 way"
"Find files modified in last 7 days in /var/log","find /var/log -mtime -7 -type f","file_operations,exam_tricks","-mtime -7 means less than 7 days ago"
"Enable and start httpd, then check if it's listening on port 80","systemctl enable --now httpd && ss -tlnp | grep :80","systemd,verification","--now enables and starts in one command"
"Create logical volume that uses all available space in VG","lvcreate -l 100%FREE -n data vg01","lvm,exam_tricks","-l 100%FREE uses all remaining space"
"Restore SELinux contexts for entire /var/www directory","restorecon -Rv /var/www","selinux,common_task","-R recursive, -v verbose"
"Configure rsyslog to log all mail facility messages to /var/log/mail.log","echo 'mail.* /var/log/mail.log' >> /etc/rsyslog.conf && systemctl restart rsyslog","logging,syntax_heavy","Format: facility.priority destination"
"Create archive of /home excluding .cache directories","tar --exclude='*.cache*' -czf home-backup.tar.gz /home","file_operations,exam_tricks","--exclude before source directory"
"Change process priority of PID 1234 to nice value 10","renice 10 1234","process_management,syntax_order","renice [priority] [PID]"
"Configure autofs timeout of 30 seconds for all mounts","Edit /etc/auto.master, add --timeout=30 to master map entries","autofs,advanced","Global timeout in master map"
"Set ACL to give user alice read/write access to /shared/file","setfacl -m u:alice:rw /shared/file","acl,permissions","Format: u:user:permissions"
"Check ACL permissions on a file","getfacl /path/to/file","acl,verification","Shows effective permissions including ACLs"
"Force user to change password on next login","chage -d 0 username OR passwd -e username","user_management,alternatives","Know both chage and passwd methods"
"Configure sudo access for wheel group without password","visudo -> %wheel ALL=(ALL) NOPASSWD: ALL","security,sudo","% indicates group, NOPASSWD removes password requirement"
"Find largest files in filesystem (top 10)","find / -type f -exec ls -la {} \; 2>/dev/null | sort -nk5 | tail -10","file_operations,advanced","Complex but useful for disk space issues"
"Create swap partition on /dev/sdb1 and activate","fdisk /dev/sdb -> t -> 82 -> w -> mkswap /dev/sdb1 -> swapon /dev/sdb1","storage,full_process","Complete partition to swap workflow"
"Configure logrotate for /var/log/myapp.log (keep 4 weeks, compress)","Create /etc/logrotate.d/myapp: /var/log/myapp.log { weekly rotate 4 compress missingok notifempty }","logging,config_file","Common logrotate options"
"Enable SELinux boolean httpd_can_network_connect permanently","setsebool -P httpd_can_network_connect on","selinux,common_bool","-P makes change persistent across reboots"
"Configure network bond with ens3 and ens8 as slaves","nmcli con add type bond con-name bond0 ifname bond0 && nmcli con add type ethernet slave-type bond con-name bond0-slave1 ifname ens3 master bond0 && nmcli con add type ethernet slave-type bond con-name bond0-slave2 ifname ens8 master bond0","networking,advanced","Complex networking - practice this syntax"
"Check system memory usage including swap","free -h && cat /proc/meminfo | grep -E '(MemTotal|MemFree|SwapTotal|SwapFree)'","monitoring,system_info","Know both free and /proc/meminfo"
"Configure systemd service to start after network is available","Add 'After=network-online.target' and 'Wants=network-online.target' to [Unit] section","systemd,dependencies","Common dependency requirement"
"Mount ISO file as loop device","mount -o loop /path/to/file.iso /mnt/iso","storage,loop_devices","Useful for mounting ISO images"
"Configure grub to boot with specific kernel parameters","grub2-editenv - set 'kernelopts=existing_params new_param=value' && grub2-mkconfig -o /boot/grub2/grub.cfg","boot,grub","RHEL 9 method for persistent kernel parameters"
"List all systemd targets available","systemctl list-units --type=target --all","systemd,troubleshooting","--all shows inactive targets too"
"Configure system to boot to multi-user target by default","systemctl set-default multi-user.target","systemd,boot_targets","Changes default.target symlink"
"Install NFS client software","dnf install -y nfs-utils","nfs",""
"List NFS exports from server nfs.example.com","showmount -e nfs.example.com","nfs",""
"Mount NFS share server:/share on /mnt/nfs manually","mount -t nfs server:/share /mnt/nfs","nfs",""
"Add NFS mount to /etc/fstab for persistence","echo 'server:/share /mnt/nfs nfs defaults,_netdev 0 0' >> /etc/fstab","nfs","_netdev waits for network"
"Export directory /shared to all hosts with read/write access","echo '/shared *(rw,sync)' >> /etc/exports && exportfs -avr","nfs","Server-side NFS configuration"
"Install AutoFS service","dnf install -y autofs","autofs",""
"Configure AutoFS indirect map for /mnt/auto","echo '/mnt/auto /etc/auto.nfs' >> /etc/auto.master","autofs","Indirect map configuration"
"Add AutoFS mapping for shared directory","echo 'shared -rw server:/export/shared' > /etc/auto.nfs","autofs","Map entry format"
"Start and enable AutoFS service","systemctl enable --now autofs","autofs",""
"Configure AutoFS direct map","echo '/- /etc/auto.direct' >> /etc/auto.master","autofs","Direct map uses /-"
"Add direct AutoFS mount for /shared-data","echo '/shared-data -rw server:/data' > /etc/auto.direct","autofs","Direct map entry"
"Configure AutoFS wildcard for home directories","echo '* -rw server:/home/&' > /etc/auto.home","autofs","Wildcard with & substitution"
"Reload AutoFS configuration after changes","systemctl reload autofs","autofs","Apply config changes"
"Check current NFS exports on server","exportfs -v","nfs","Server troubleshooting"
"Test NFS port connectivity to server","telnet server 2049","nfs","NFS uses port 2049"
